date,BC_1MONTH,BC_3MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY
2008-01-02,3.09,3.26,3.32,3.17,2.88,2.89,3.28,3.54,3.91,4.39,4.35,0.00
2008-01-03,3.19,3.24,3.29,3.13,2.83,2.85,3.26,3.54,3.91,4.41,4.37,0.00
2008-01-04,3.22,3.20,3.22,3.06,2.74,2.75,3.18,3.47,3.88,4.40,4.36,0.00
2008-01-07,3.27,3.27,3.29,3.11,2.76,2.76,3.16,3.46,3.86,4.37,4.34,0.00
2008-01-08,3.31,3.25,3.27,3.09,2.76,2.76,3.16,3.47,3.86,4.39,4.35,0.00
2008-01-09,3.34,3.22,3.22,3.04,2.69,2.69,3.10,3.40,3.82,4.35,4.32,0.00
2008-01-10,3.37,3.24,3.21,3.04,2.71,2.74,3.16,3.49,3.91,4.47,4.44,0.00
2008-01-11,3.23,3.09,3.07,2.91,2.59,2.61,3.06,3.38,3.82,4.40,4.39,0.00
2008-01-14,3.20,3.19,3.07,2.90,2.58,2.61,3.08,3.39,3.81,4.39,4.37,0.00
2008-01-15,3.15,3.17,3.05,2.87,2.53,2.55,3.00,3.30,3.72,4.30,4.28,0.00
2008-01-16,3.14,3.14,3.05,2.86,2.51,2.55,3.00,3.32,3.74,4.34,4.32,0.00
2008-01-17,3.07,3.07,3.01,2.81,2.44,2.46,2.90,3.22,3.66,4.27,4.25,0.00
2008-01-18,2.63,2.86,2.86,2.69,2.36,2.39,2.86,3.20,3.66,4.30,4.28,0.00
2008-01-22,2.15,2.35,2.41,2.29,2.08,2.12,2.64,3.01,3.52,4.23,4.23,0.00
2008-01-23,2.07,2.21,2.25,2.19,2.09,2.12,2.64,3.01,3.51,4.23,4.23,0.00
2008-01-24,2.19,2.37,2.48,2.40,2.25,2.30,2.85,3.21,3.68,4.37,4.36,0.00
2008-01-25,2.07,2.30,2.41,2.34,2.23,2.28,2.81,3.15,3.61,4.30,4.28,0.00
2008-01-28,2.12,2.34,2.36,2.30,2.20,2.27,2.80,3.15,3.61,4.30,4.29,0.00
2008-01-29,2.13,2.28,2.36,2.33,2.29,2.33,2.87,3.23,3.69,4.35,4.34,0.00
2008-01-30,1.93,2.21,2.29,2.30,2.30,2.44,2.96,3.32,3.78,4.45,4.44,0.00
2008-01-31,1.64,1.96,2.07,2.11,2.17,2.27,2.82,3.19,3.67,4.35,4.35,0.00
2008-02-01,1.75,2.10,2.15,2.13,2.09,2.22,2.75,3.13,3.62,4.31,4.32,0.00
2008-02-04,2.15,2.27,2.22,2.17,2.08,2.23,2.78,3.18,3.68,4.37,4.37,0.00
2008-02-05,2.22,2.19,2.13,2.06,1.93,2.08,2.66,3.08,3.61,4.32,4.33,0.00
2008-02-06,2.12,2.10,2.10,2.05,1.96,2.11,2.67,3.08,3.61,4.36,4.37,0.00
2008-02-07,2.19,2.17,2.13,2.08,1.99,2.21,2.79,3.21,3.74,4.50,4.51,0.00
2008-02-08,2.24,2.23,2.12,2.05,1.93,2.10,2.69,3.11,3.64,4.41,4.43,0.00
2008-02-11,2.35,2.31,2.13,2.06,1.93,2.10,2.67,3.09,3.62,4.38,4.41,0.00
2008-02-12,2.55,2.31,2.12,2.06,1.94,2.13,2.71,3.13,3.66,4.43,4.46,0.00
2008-02-13,2.50,2.28,2.10,2.03,1.91,2.11,2.71,3.14,3.70,4.48,4.52,0.00
2008-02-14,2.50,2.31,2.12,2.05,1.93,2.18,2.81,3.28,3.85,4.63,4.67,0.00
2008-02-15,2.40,2.21,2.07,2.02,1.91,2.15,2.76,3.21,3.76,4.55,4.58,0.00
2008-02-19,2.37,2.28,2.14,2.11,2.06,2.31,2.93,3.37,3.89,4.63,4.66,0.00
2008-02-20,2.40,2.25,2.17,2.16,2.14,2.43,3.02,3.45,3.93,4.63,4.65,0.00
2008-02-21,2.35,2.20,2.10,2.05,1.98,2.23,2.80,3.24,3.77,4.52,4.54,0.00
2008-02-22,2.33,2.20,2.14,2.08,1.98,2.24,2.81,3.26,3.79,4.55,4.58,0.00
2008-02-25,2.34,2.20,2.13,2.13,2.13,2.39,2.98,3.41,3.91,4.65,4.67,0.00
2008-02-26,2.34,2.14,2.09,2.07,2.04,2.32,2.92,3.36,3.88,4.64,4.66,0.00
2008-02-27,2.21,1.98,2.02,2.02,2.01,2.25,2.89,3.33,3.85,4.62,4.65,0.00
2008-02-28,2.08,1.90,1.95,1.92,1.87,2.10,2.73,3.17,3.71,4.51,4.55,0.00
2008-02-29,2.07,1.85,1.83,1.77,1.65,1.87,2.50,2.96,3.53,4.37,4.41,0.00
2008-03-03,1.99,1.70,1.80,1.74,1.61,1.84,2.48,2.96,3.54,4.37,4.42,0.00
2008-03-04,2.01,1.66,1.76,1.72,1.65,1.86,2.53,3.02,3.63,4.46,4.52,0.00
2008-03-05,1.91,1.53,1.75,1.72,1.66,1.91,2.59,3.10,3.70,4.55,4.60,0.00
2008-03-06,1.73,1.39,1.61,1.59,1.53,1.77,2.50,3.00,3.62,4.52,4.57,0.00
2008-03-07,1.65,1.45,1.56,1.55,1.53,1.75,2.45,2.94,3.56,4.49,4.55,0.00
2008-03-10,1.63,1.35,1.45,1.46,1.47,1.67,2.37,2.84,3.46,4.39,4.45,0.00
2008-03-11,1.82,1.48,1.64,1.67,1.74,1.93,2.61,3.04,3.60,4.48,4.53,0.00
2008-03-12,1.68,1.48,1.56,1.58,1.63,1.81,2.49,2.93,3.49,4.35,4.40,0.00
2008-03-13,1.56,1.35,1.50,1.54,1.63,1.84,2.53,2.99,3.56,4.42,4.47,0.00
2008-03-14,1.20,1.18,1.32,1.37,1.47,1.65,2.37,2.84,3.44,4.30,4.35,0.00
2008-03-17,1.16,1.11,1.31,1.32,1.35,1.52,2.23,2.71,3.34,4.24,4.29,0.00
2008-03-18,0.71,0.92,1.32,1.40,1.58,1.74,2.42,2.88,3.48,4.30,4.35,0.00
